timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1689566141115,817,HomePage,200,OK,LoadTestingFirst 2-1,text,true,,257686,244,2,7,https://www.simplilearn.com/,209,0,150
1689566141115,209,HomePage-0,301,Moved Permanently,LoadTestingFirst 2-1,text,true,,568,122,2,7,http://www.simplilearn.com/,209,0,150
1689566141325,607,HomePage-1,200,OK,LoadTestingFirst 2-1,text,true,,257118,122,2,7,https://www.simplilearn.com/,416,0,365
1689566141115,828,HTTP Request,200,OK,JmeterFirst 1-1,text,true,,257678,244,5,7,https://www.simplilearn.com/,186,0,135
1689566141115,189,HTTP Request-0,301,Moved Permanently,JmeterFirst 1-1,text,true,,568,122,5,7,http://www.simplilearn.com/,186,0,135
1689566141305,638,HTTP Request-1,200,OK,JmeterFirst 1-1,text,true,,257110,122,5,7,https://www.simplilearn.com/,436,0,387
1689566141454,490,HTTP Request,200,OK,JmeterFirst 1-3,text,true,,257678,244,5,7,https://www.simplilearn.com/,116,0,57
1689566141454,116,HTTP Request-0,301,Moved Permanently,JmeterFirst 1-3,text,true,,568,122,5,7,http://www.simplilearn.com/,116,0,57
1689566141570,374,HTTP Request-1,200,OK,JmeterFirst 1-3,text,true,,257110,122,5,7,https://www.simplilearn.com/,172,0,122
1689566141255,703,HTTP Request,200,OK,JmeterFirst 1-2,text,true,,257686,244,5,7,https://www.simplilearn.com/,93,0,48
1689566141255,93,HTTP Request-0,301,Moved Permanently,JmeterFirst 1-2,text,true,,568,122,5,7,http://www.simplilearn.com/,93,0,48
1689566141349,609,HTTP Request-1,200,OK,JmeterFirst 1-2,text,true,,257118,122,5,7,https://www.simplilearn.com/,404,0,343
1689566141556,456,HomePage,200,OK,LoadTestingFirst 2-2,text,true,,257686,244,2,7,https://www.simplilearn.com/,98,0,49
1689566141556,98,HomePage-0,301,Moved Permanently,LoadTestingFirst 2-2,text,true,,568,122,2,7,http://www.simplilearn.com/,98,0,49
1689566141654,358,HomePage-1,200,OK,LoadTestingFirst 2-2,text,true,,257118,122,2,7,https://www.simplilearn.com/,163,0,102
1689566141945,228,HTTP Request,200,OK,JmeterFirst 1-1,text,true,,257678,244,5,7,https://www.simplilearn.com/,61,0,0
1689566141945,61,HTTP Request-0,301,Moved Permanently,JmeterFirst 1-1,text,true,,568,122,5,7,http://www.simplilearn.com/,61,0,0
1689566142006,167,HTTP Request-1,200,OK,JmeterFirst 1-1,text,true,,257110,122,5,7,https://www.simplilearn.com/,47,0,0
1689566141959,240,HTTP Request,200,OK,JmeterFirst 1-2,text,true,,257678,244,5,7,https://www.simplilearn.com/,47,0,0
1689566141959,47,HTTP Request-0,301,Moved Permanently,JmeterFirst 1-2,text,true,,568,122,5,7,http://www.simplilearn.com/,47,0,0
1689566142006,193,HTTP Request-1,200,OK,JmeterFirst 1-2,text,true,,257110,122,5,7,https://www.simplilearn.com/,55,0,0
